Global;Género-pos;Categoría-pos;BIB;Nombre;Género;Categoría;Tiempo de carrera;Ritmo;distancia
66;35;8;74;Carlos Vergara;M;SUB-M-Abierta;42:50:00;8:34 min/Km;5k
67;36;9;80;Cristian Villalba;M;SUB-M-Abierta;44:05:00;8:49 min/Km;5k
68;32;14;310;Jeilis Lafourie;F;SUB-F-Juvenil;44:25:00;8:53 min/Km;5k
69;33;15;305;Karol Taibel;F;SUB-F-Juvenil;44:41:00;8:56 min/Km;5k
70;34;17;304;Andrea Conrrado;F;SUB-F-Abierta;44:45:00;8:57 min/Km;5k
71;35;16;309;Deimis Mercado;F;SUB-F-Juvenil;44:48:00;8:57 min/Km;5k
72;37;28;81;Manuel Barcelo;M;SUB-M-Juvenil;44:57:00;8:59 min/Km;5k
73;36;17;311;Jordana Fontalvo;F;SUB-F-Juvenil;45:06:00;9:01 min/Km;5k
;;;;;;;;;
;;;;;;;;;
